term,count,doc_freq,rel_freq
quiet,10,8,0.0006128201985537443
unknown,10,10,0.0006128201985537443
good,10,9,0.0006128201985537443
saw,10,7,0.0006128201985537443
forget,10,8,0.0006128201985537443
poems,10,3,0.0006128201985537443
high,10,9,0.0006128201985537443
stands,10,10,0.0006128201985537443
leaves,10,9,0.0006128201985537443
sing,10,7,0.0006128201985537443
trees,10,10,0.0006128201985537443
joy,9,6,0.0005515381786983699
poor,9,7,0.0005515381786983699
gain,9,9,0.0005515381786983699
stop,9,7,0.0005515381786983699
fields,9,9,0.0005515381786983699
ecstasy,9,9,0.0005515381786983699
cheek,9,8,0.0005515381786983699
times,9,8,0.0005515381786983699
gown,9,9,0.0005515381786983699
centuries,9,9,0.0005515381786983699
known,9,9,0.0005515381786983699
grief,9,5,0.0005515381786983699
lies,9,9,0.0005515381786983699
stir,9,9,0.0005515381786983699
sunrise,9,9,0.0005515381786983699
along,9,9,0.0005515381786983699
ever,9,9,0.0005515381786983699
begun,9,9,0.0005515381786983699
water,9,8,0.0005515381786983699
room,9,8,0.0005515381786983699
dim,9,9,0.0005515381786983699
thine,9,7,0.0005515381786983699
half,9,8,0.0005515381786983699
brook,9,6,0.0005515381786983699
daily,9,8,0.0005515381786983699
often,9,8,0.0005515381786983699
frost,9,9,0.0005515381786983699
sight,9,9,0.0005515381786983699
sound,9,9,0.0005515381786983699
stopped,9,8,0.0005515381786983699
perhaps,9,9,0.0005515381786983699
people,9,9,0.0005515381786983699
hold,9,8,0.0005515381786983699
fell,9,9,0.0005515381786983699
sunset,9,7,0.0005515381786983699
dawn,9,8,0.0005515381786983699
seemed,9,9,0.0005515381786983699
imperial,9,9,0.0005515381786983699
ah,9,9,0.0005515381786983699
lift,9,8,0.0005515381786983699
forehead,9,9,0.0005515381786983699
kept,9,6,0.0005515381786983699
friends,9,5,0.0005515381786983699
verses,9,2,0.0005515381786983699
looked,9,8,0.0005515381786983699
wild,9,5,0.0005515381786983699
transport,9,9,0.0005515381786983699
lady,9,7,0.0005515381786983699
call,9,9,0.0005515381786983699
victory,8,8,0.0004902561588429955
lose,8,6,0.0004902561588429955
nothing,8,8,0.0004902561588429955
sudden,8,8,0.0004902561588429955
anybody,8,7,0.0004902561588429955
book,8,8,0.0004902561588429955
true,8,8,0.0004902561588429955
divine,8,8,0.0004902561588429955
stay,8,8,0.0004902561588429955
rise,8,8,0.0004902561588429955
houses,8,8,0.0004902561588429955
windows,8,7,0.0004902561588429955
dust,8,8,0.0004902561588429955
large,8,7,0.0004902561588429955
whether,8,5,0.0004902561588429955
immortal,8,8,0.0004902561588429955
perfect,8,8,0.0004902561588429955
degree,8,8,0.0004902561588429955
breast,8,8,0.0004902561588429955
wear,8,8,0.0004902561588429955
nobody,8,7,0.0004902561588429955
foreign,8,8,0.0004902561588429955
eden,8,7,0.0004902561588429955
keeps,8,8,0.0004902561588429955
despair,8,8,0.0004902561588429955
common,8,8,0.0004902561588429955
called,8,7,0.0004902561588429955
parting,8,8,0.0004902561588429955
odd,8,8,0.0004902561588429955
spring,8,7,0.0004902561588429955
beneath,8,7,0.0004902561588429955
rainbow,8,7,0.0004902561588429955
stood,8,7,0.0004902561588429955
