bigram,count,doc_freq,rel_freq
lock door,2,2,0.0001260239445494644
heaven heaven,2,2,0.0001260239445494644
nights wild,2,2,0.0001260239445494644
night wide,2,2,0.0001260239445494644
wide furnished,2,2,0.0001260239445494644
furnished scant,2,2,0.0001260239445494644
feet like,2,2,0.0001260239445494644
thee '',2,2,0.0001260239445494644
harebell loose,2,2,0.0001260239445494644
loose girdle,2,2,0.0001260239445494644
charm invests,2,2,0.0001260239445494644
invests face,2,2,0.0001260239445494644
dare lift,2,2,0.0001260239445494644
rose caper,2,2,0.0001260239445494644
caper cheek,2,2,0.0001260239445494644
would go,2,2,0.0001260239445494644
lands never,2,2,0.0001260239445494644
saw say,2,2,0.0001260239445494644
moon distant,2,2,0.0001260239445494644
leads docile,2,2,0.0001260239445494644
put belt,2,2,0.0001260239445494644
belt around,2,2,0.0001260239445494644
around life,2,2,0.0001260239445494644
call little,2,2,0.0001260239445494644
held jewel,2,2,0.0001260239445494644
jewel fingers,2,2,0.0001260239445494644
went sleep,2,2,0.0001260239445494644
say shall,2,2,0.0001260239445494644
shall wait,2,2,0.0001260239445494644
take us,2,2,0.0001260239445494644
nature gentlest,2,2,0.0001260239445494644
gentlest mother,2,2,0.0001260239445494644
summer afternoon,2,2,0.0001260239445494644
really morning,2,2,0.0001260239445494644
feathers like,2,2,0.0001260239445494644
three single,2,2,0.0001260239445494644
single bird,2,2,0.0001260239445494644
day came,2,2,0.0001260239445494644
came slow,2,2,0.0001260239445494644
slow till,2,2,0.0001260239445494644
till five,2,2,0.0001260239445494644
five o'clock,2,2,0.0001260239445494644
could keep,2,2,0.0001260239445494644
sun touched,2,2,0.0001260239445494644
touched morning,2,2,0.0001260239445494644
march scarcely,2,2,0.0001260239445494644
cocoon forth,2,2,0.0001260239445494644
forth butterfly,2,2,0.0001260239445494644
men made,2,1,0.0001260239445494644
made hay,2,1,0.0001260239445494644
thought spring,2,2,0.0001260239445494644
altered look,2,2,0.0001260239445494644
look hills,2,2,0.0001260239445494644
fly upon,2,2,0.0001260239445494644
upon pane,2,2,0.0001260239445494644
'' whose,2,2,0.0001260239445494644
whose little,2,2,0.0001260239445494644
little beds,2,2,0.0001260239445494644
beds '',2,2,0.0001260239445494644
'' asked,2,2,0.0001260239445494644
said '',2,1,0.0001260239445494644
woods '',2,2,0.0001260239445494644
pigmy seraphs,2,2,0.0001260239445494644
seraphs gone,2,2,0.0001260239445494644
gone astray,2,2,0.0001260239445494644
hear oriole,2,2,0.0001260239445494644
oriole sing,2,2,0.0001260239445494644
one ones,2,2,0.0001260239445494644
ones midas,2,2,0.0001260239445494644
midas touched,2,2,0.0001260239445494644
dreaded first,2,2,0.0001260239445494644
could bear,2,2,0.0001260239445494644
stayed away,2,2,0.0001260239445494644
route evanescence,2,2,0.0001260239445494644
skies ca,2,2,0.0001260239445494644
ca keep,2,2,0.0001260239445494644
goes way,2,2,0.0001260239445494644
robbed woods,2,2,0.0001260239445494644
bore away,2,2,0.0001260239445494644
away solemn,2,2,0.0001260239445494644
two butterflies,2,2,0.0001260239445494644
butterflies went,2,2,0.0001260239445494644
went noon,2,2,0.0001260239445494644
away upon,2,2,0.0001260239445494644
ether sea,2,2,0.0001260239445494644
started early,2,2,0.0001260239445494644
early took,2,2,0.0001260239445494644
took dog,2,2,0.0001260239445494644
arcturus name,2,2,0.0001260239445494644
awful tempest,2,2,0.0001260239445494644
tempest mashed,2,2,0.0001260239445494644
mashed air,2,2,0.0001260239445494644
everywhere silver,2,2,0.0001260239445494644
bird came,2,2,0.0001260239445494644
came walk,2,2,0.0001260239445494644
narrow fellow,2,2,0.0001260239445494644
fellow grass,2,2,0.0001260239445494644
know know,2,2,0.0001260239445494644
mushroom elf,2,2,0.0001260239445494644
elf plants,2,2,0.0001260239445494644
like bubble,2,1,0.0001260239445494644
came wind,2,2,0.0001260239445494644
wind like,2,2,0.0001260239445494644
like bugle,2,2,0.0001260239445494644
spider sewed,2,2,0.0001260239445494644
sewed night,2,2,0.0001260239445494644
know place,2,2,0.0001260239445494644
place summer,2,2,0.0001260239445494644
summer strives,2,2,0.0001260239445494644
could repeat,2,2,0.0001260239445494644
repeat summer,2,2,0.0001260239445494644
man like,2,2,0.0001260239445494644
nature rarer,2,2,0.0001260239445494644
rarer uses,2,2,0.0001260239445494644
uses yellow,2,2,0.0001260239445494644
leaves like,2,2,0.0001260239445494644
like women,2,2,0.0001260239445494644
women interchange,2,2,0.0001260239445494644
happy little,2,2,0.0001260239445494644
little stone,2,2,0.0001260239445494644
sounded streets,2,2,0.0001260239445494644
streets running,2,2,0.0001260239445494644
rat concisest,2,2,0.0001260239445494644
concisest tenant,2,2,0.0001260239445494644
frequently woods,2,2,0.0001260239445494644
woods pink,2,2,0.0001260239445494644
wind begun,2,2,0.0001260239445494644
begun rock,2,2,0.0001260239445494644
rock grass,2,2,0.0001260239445494644
south winds,2,2,0.0001260239445494644
winds jostle,2,2,0.0001260239445494644
ships purple,2,2,0.0001260239445494644
purple gently,2,2,0.0001260239445494644
gently toss,2,2,0.0001260239445494644
sweeps brooms,2,2,0.0001260239445494644
like mighty,2,2,0.0001260239445494644
mighty footlights,2,2,0.0001260239445494644
footlights burned,2,2,0.0001260239445494644
burned red,2,2,0.0001260239445494644
bring sunset,2,2,0.0001260239445494644
sunset cup,2,2,0.0001260239445494644
blazing gold,2,2,0.0001260239445494644
gold quenching,2,2,0.0001260239445494644
quenching purple,2,2,0.0001260239445494644
face die,2,2,0.0001260239445494644
farther summer,2,2,0.0001260239445494644
summer birds,2,2,0.0001260239445494644
imperceptibly grief,2,2,0.0001260239445494644
ca summer,2,2,0.0001260239445494644
summer got,2,2,0.0001260239445494644
shall go,2,2,0.0001260239445494644
gentian weaves,2,2,0.0001260239445494644
weaves fringes,2,2,0.0001260239445494644
may summer,2,2,0.0001260239445494644
god made,2,2,0.0001260239445494644
made little,2,2,0.0001260239445494644
little gentian,2,2,0.0001260239445494644
besides autumn,2,2,0.0001260239445494644
autumn poets,2,2,0.0001260239445494644
poets sing,2,2,0.0001260239445494644
sifts leaden,2,2,0.0001260239445494644
leaden sieves,2,2,0.0001260239445494644
brigadier throughout,2,2,0.0001260239445494644
throughout year,2,2,0.0001260239445494644
let bars,2,2,0.0001260239445494644
bars death,2,2,0.0001260239445494644
home night,2,2,0.0001260239445494644
